0x00e19cf8;え
0x00e1ea6c;各ポーカーゲームの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1eac0;テキサス試遊練習
0x00e1ead8;パイナップル試遊練習
0x00e1eaf0;オマハ試遊練習
0x00e1eb10;テキサスホールデムの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1eb50;パイナップルホールデムの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1eb98;オマハホールデムの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1ebe8;真剣勝負だ！
0x00e1ebf8;運がいいね
0x00e1ec08;早くしてよ
0x00e1ec18;ガッカリ…
0x00e1ec28;まさか…!?
0x00e1ec38;ダメだ、こりゃ！
0x00e1ec50;バラバラだよ…
0x00e1ec60;これじゃ勝てないか…
0x00e1ec78;これは勝ち確定かも…
0x00e1ec90;もっと上げるよ！
0x00e1eca8;付き合ってみるか…
0x00e1ecc0;降りようかな…
0x00e1ecd0;この勝負は降りる…
0x00e1ece8;あははははは！
0x00e1ecf8;メラメラ！（怒）
0x00e1ed10;しくしく…（涙）
0x00e1ed28;ドキドキ…
0x00e1ed38;わーい♪
0x00e1ed48;やられた！
0x00e1ed58;絶好調！
0x00e1ed68;失敗したなぁ…
0x00e1ed78;おつかれさま！
0x00e1ed88;楽しかった〜！
0x00e1ed98;くやしいなぁ…
0x00e1eda8;次こそは勝つ！
0x00e1ee40;あと
0x00e1ee4c;０
0x00e1ee54;１
0x00e1ee5c;２
0x00e1ee64;３
0x00e1ee6c;４
0x00e1ee74;５
0x00e1ee7c;６
0x00e1ee84;７
0x00e1ee8c;８
0x00e1ee94;９
0x00e1eec8;？
0x00e1eed8;未勝利
0x00e1eee8;勝利
0x00e1eef8;エレキナマズ
0x00e1ef08;サケ
0x00e1ef10;スッポン
0x00e1ef20;ウナギ
0x00e1ef28;アユ
0x00e1ef6c;マダイ
0x00e1ef74;クルマエビ
0x00e1ef84;い
0x00e1ef8c;トラフグ
0x00e1ef9c;シラス
0x00e1efec;初釣丸
0x00e1eff4;淡水丸
0x00e1effc;釣大河
0x00e1f004;海丸
0x00e1f00c;大海王
0x00e1f014;超釣神
0x00e1f038;宇治川
0x00e1f040;鴨川
0x00e1f048;漁礁の磯
0x00e1f058;東沖
0x00e1f074;撒き餌
0x00e1f080;投入
0x00e1f088;釣具
0x00e1f0a4;淡水魚食いつき
0x00e1f0b4;海水魚食いつき
0x00e1f0c4;飛距離
0x00e1f0cc;アタリの感度
0x00e1f0f0;海でも川でも使える、初心者用の釣具。[n]性能はあまりよくない。
0x00e1f130;川釣りに適した釣り道具。[n]川魚のアタリがとりやすく、反応も良い。
0x00e1f170;川釣りに最も適した釣り道具。[n]川魚の反応も優れ、アワセるのが簡単。[n]また遠くまで投げられる。
0x00e1f1d0;海釣りに適した釣り道具。[n]海魚のアタリがとりやすく、反応も良い。
0x00e1f210;海釣りに最も適した釣り道具。[n]海魚の反応も優れ、アワセるのが簡単。[n]また遠くまで投げられる。
0x00e1f270;海でも川でも使える最高性能の釣具。[n]魚のアタリの感度も最高。[n]飛距離も最も遠くまで投げられる。
0x00e1f2f4;竿を上げる
0x00e1f30c;アワセる
0x00e1f324;%d尺%d寸
0x00e1f33c;高級撒き餌
0x00e1f34c;特選撒き餌
0x00e1f35c;究極撒き餌
0x00e1f388;混戦の予感がします。
0x00e1f3a0;２強の戦いになりそうです。
0x00e1f3c0;さてどんな結末になるでしょうか？
0x00e1f3f8;短距離王者がいよいよ決まります。
0x00e1f428;さあ、ここに中距離最強が決まります。
0x00e1f458;長距離で最も強い鳥はどの鳥か？
0x00e1f480;この競争に勝った鳥は栄光の鶏冠を与えられます。
0x00e1f4b8;この競争に勝った鳥は鳳凰と呼ばれます。
0x00e1f4e8;日本一の栄冠はどの鳥に輝くのか？[n]鳥の中の鳥がいよいよ決定。
0x00e1f52c;急遽特別競走が開催されます。[n]選ばれた２羽による一騎打ち戦です。
0x00e1f570;短距離一般競争
0x00e1f580;中距離一般競争
0x00e1f590;長距離一般競争
0x00e1f5b0;短距離[n]一般競争
0x00e1f5c0;中距離[n]一般競争
0x00e1f5d0;長距離[n]一般競争
0x00e1f5ec;%s対%s
0x00e1f5fc;骸短距離王冠前哨戦
0x00e1f614;骸中距離王冠前哨戦
0x00e1f62c;骸長距離王冠前哨戦
0x00e1f644;銀鶏杯
0x00e1f64c;金鶏杯
0x00e1f654;鴨川記念
0x00e1f664;骸記念
0x00e1f66c;骸短距離王冠
0x00e1f67c;骸中距離王冠
0x00e1f68c;骸長距離王冠
0x00e1f69c;骸大鶏冠
0x00e1f6ac;鳳凰賞
0x00e1f6b4;日本優鶏
0x00e1f6c4;一騎打ち戦
0x00e1f710;骸短距離[n]王冠前哨戦
0x00e1f728;骸中距離[n]王冠前哨戦
0x00e1f740;骸長距離王[n]冠前哨戦
0x00e1f758;骸短距離[n]王冠
0x00e1f768;骸中距離[n]王冠
0x00e1f778;骸長距離[n]王冠
0x00e1f7c4;各羽、態勢整いました。
0x00e1f7dc;準備が整いました。
0x00e1f800;各羽きれいな出足！
0x00e1f818;出遅れた！%s
0x00e1f828;良い出足！%s
0x00e1f838;現在先頭は%s
0x00e1f848;先頭は横一線！
0x00e1f858;一気に出た！%s
0x00e1f884;%s一歩先行
0x00e1f894;%s後方から一気に来たー！
0x00e1f8b4;%s逃げてる！
0x00e1f8c4;各羽一斉に終点になだれ込んだー
0x00e1f8e4;これはかなり混戦だ！
0x00e1f914;大健闘！%s
0x00e1f924;期待通りです！%s
0x00e1f93c;これは予想外！%s
0x00e1f954;やはり強い！%s
0x00e1f964;１着%s[n]２着%s
0x00e1f98c;鳥券購入
0x00e1f99c;競争開始
0x00e1f9ac;競争予定を見る
0x00e1f9bc;競鶏をやめる
0x00e1f9e0;単勝購入
0x00e1f9f0;鳥連購入
0x00e1fa00;鳥単購入
0x00e1fa10;配当一覧から購入
0x00e1fa28;購入鳥券確認
0x00e1fa38;購入終了
0x00e1fa64;競争開始まで
0x00e1fa74;秒
0x00e1fa8c;一
0x00e1fa94;二
0x00e1fa9c;三
0x00e1faa4;四
0x00e1faac;五
0x00e1fb1c;木札で鳥券を購入します。
0x00e1fb3c;競争を開始します。
0x00e1fb54;今後開催される競争の予定を確認できます。
0x00e1fb84;競鶏を終了します。
0x00e1fb9c;１着の鶏を予想する鳥券を購入します。
0x00e1fbc4;着順に関係なく１着２着を予想する鳥券を購入します。
0x00e1fbfc;着順を予想する鳥券を購入します。[n]最大５着まで予想することができます。
0x00e1fc44;配当一覧から鳥券を購入します。
0x00e1fc64;購入済みの鳥券を確認できます。
0x00e1fc84;鳥券の購入を終了します。
0x00e1fca4;１着の鶏のみ予想します。[n]購入する鶏を選んで左右で賭け点を増減します。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1fd1c;着順に関係なく１着２着を予想します。[n]１羽目の鶏を<Sign:D>ボタンで選んでください。
0x00e1fd74;２羽目の鶏を選んで左右で賭け点を増減します。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1fdd4;着順を予想する鳥券を購入します。[n]１着予想の鶏を<Sign:D>ボタンで選んでください。
0x00e1fe24;２着予想の鶏を選んで左右で賭け点を増減します。[n]<Sign:D>ボタンで更に多くの順着を予想できます。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1feb4;３着予想の鶏を選んで左右で賭け点を増減します。[n]<Sign:D>ボタンで更に多くの順着を予想できます。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1ff44;４着予想の鶏を選んで左右で賭け点を増減します。[n]<Sign:D>ボタンで更に多くの順着を予想できます。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1ffd4;左右で賭け点を増減します。「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e20024;購入したい配当を選んで<Sign:D>ボタンを押してください。[n]◎は購入済みです。<Sign:6>、<Sign:4>ボタンで表示を切り替えます。 
0x00e200a4;左右で賭け点を増減します。[n]<Sign:D>ボタンで購入、<Sign:C>ボタンで取り消します。
0x00e200f4;購入済みの鳥券です。
0x00e2010c;現在開催中、出走鳥決定の競争は、[n]<Sign:1>ボタンで詳細を見ることができます。
0x00e2015c;現在開催中の出走鳥です。
0x00e2017c;次回競走の出走鳥です
0x00e20194;次々回競走の出走鳥です。
0x00e201b4;急遽特別競走が開催されます。[n]選ばれた２羽による一騎討ち戦です。
0x00e2025c;詳細表示
0x00e20274;表示切替
0x00e2028c;視点切り替え
0x00e202a4;飜
0x00e202ac;符
0x00e202b8;ラ
0x00e202bc;棒
0x00e202d4;？
0x00e202ec;る
0x00e202f0;る
0x00e202fc;識
0x00e2030c;る
0x00e20318;弱卓で勝負
0x00e20328;中卓で勝負
0x00e20338;強卓で勝負
0x00e20348;慶応麻雀杯 昇龍戦に挑戦
0x00e20370;対戦相手を選んでください。[n]弱い対戦相手たちと勝負します。
0x00e203b0;対戦相手を選んでください。[n]普通の強さの対戦相手たちと勝負します。
0x00e203f8;対戦相手を選んでください。[n]強い対戦相手たちと勝負します。
0x00e20438;いろいろな対戦相手と勝負して[n]昇龍戦の頂点を目指してください。[n]参加料は５００点で１回払えば、次回からは無料です。
0x00e204b0;いろいろな対戦相手と勝負して[n]昇龍戦の頂点を目指してください。[n]５００点以上貯めてください。
0x00e20510;いろいろな対戦相手と勝負して[n]昇龍戦の頂点を目指してください。
0x00e20584;ラ
0x00e205a0;槓
0x00e205ac;和
0x00e205b0;打
0x00e205c4;局
0x00e205c8;局
0x00e205cc;局
0x00e205d0;局
0x00e205d4;局
0x00e205d8;局
0x00e205dc;局
0x00e205e0;局
0x00e205e4;局
0x00e205e8;局
0x00e205ec;局
0x00e205f0;局
0x00e205f4;局
0x00e205f8;局
0x00e205fc;局
0x00e20600;局
0x00e2060c;満
0x00e20614;満
0x00e20624;満
0x00e20658;東
0x00e2065c;南
0x00e20660;西
0x00e20664;北
0x00e20668;白
0x00e20670;發
0x00e20678;中
0x00e20688;口
0x00e206b4;頭
0x00e206c0;和
0x00e206c4;刻
0x00e206c8;刻
0x00e206cc;子
0x00e206d0;子
0x00e206e4;元
0x00e206e8;直
0x00e206f4;色
0x00e206f8;口
0x00e206fc;色
0x00e20700;色
0x00e20704;色
0x00e20714;刻
0x00e20718;騎
0x00e20720;子
0x00e20724;元
0x00e20728;喜
0x00e2072c;喜
0x00e20730;頭
0x00e20758;輪
0x00e20770;中
0x00e20778;か
0x00e20798;ぁ
0x00e207b4;？
0x00e207c0;で
0x00e207e0;！
0x00e207f0;？
0x00e20800;！
0x00e2080c;！
0x00e20818;…
0x00e2082c;…
0x00e20840;な
0x00e20864;や
0x00e20878;ぇ
0x00e2088c;よ
0x00e20894;ぇ
0x00e208a0;!?
0x00e208a8;!!
0x00e208c0;ー
0x00e208cc;わ
0x00e208d4;ろ
0x00e208dc;！
0x00e208f4;！
0x00e20900;わ
0x00e20908;で
0x00e20918;！
0x00e20924;〜
0x00e20938;〜
0x00e2095c;な
0x00e2099c;る
0x00e209b0;る
0x00e209b4;…
0x00e209c0;ぇ
0x00e209c4;裕
0x00e209d4;な
0x00e209dc;ろ
0x00e209e4;た
0x00e20a08;ぁ
0x00e20a10;？
0x00e20a18;ぁ
0x00e20a24;や
0x00e20a2c;…
0x00e20a38;…
0x00e20a44;ね
0x00e20a50;…
0x00e20a54;よ
0x00e20a74;わ
0x00e20a7c;〜
0x00e20a8c;！
0x00e20a90;？
0x00e20aa0;…
0x00e20aa4;で
0x00e20aa8;！
0x00e20abc;え
0x00e20ac8;…
0x00e20ae0;な
0x00e20aec;…
0x00e20af8;か
0x00e20b08;や
0x00e20b10;わ
0x00e20b18;！
0x00e20b1c;？
0x00e20b28;〜
0x00e20b30;？
0x00e20b48;ん
0x00e20b58;が
0x00e20b5c;ん
0x00e20b60;か
0x00e20b78;…
0x00e20b80;…
0x00e20ba4;で
0x00e20ba8;！
0x00e20bb4;…
0x00e20bc0;い
0x00e20bc4;な
0x00e20bcc;…
0x00e20bd4;る
0x00e20bec;い
0x00e20bf0;！
0x00e20c10;ぁ
0x00e20c14;ぁ
0x00e20c18;ょ
0x00e20c1c;！
0x00e20c20;わ
0x00e20c30;…
0x00e20c34;!?
0x00e20c3c;！
0x00e20c58;う
0x00e20c6c;!!
0x00e20c84;る
0x00e20c8c;？
0x00e20c94;負
0x00e20c98;る
0x00e20c9c;る
0x00e20cb8;な
0x00e20cbc;…
0x00e20cc0;…
0x00e20ccc;だ
0x00e20cd0;…
0x00e20cdc;か
0x00e20cec;？
0x00e20cf8;！
0x00e20d04;な
0x00e20d08;！
0x00e20d1c;ぁ
0x00e20d20;わ
0x00e20d24;に
0x00e20d2c;て
0x00e20d30;わ
0x00e20d34;ん
0x00e20d3c;や
0x00e20d40;わ
0x00e20d48;…
0x00e20d4c;！
0x00e20d58;わ
0x00e20d7c;！
0x00e20d8c;！
0x00e20da0;…
0x00e20da8;か
0x00e20dac;ぜ
0x00e20db8;…
0x00e20dc8;ぜ
0x00e20dcc;!!
0x00e20ddc;〜
0x00e20de8;て
0x00e20df8;…
0x00e20e08;ヘ
0x00e20e40;…
0x00e20e48;!!
0x00e20e58;ぞ
0x00e20e5c;よ
0x00e20e64;な
0x00e20e70;…
0x00e20e78;!!
0x00e20e7c;!!
0x00e20e84;…
0x00e20e94;で
0x00e20e98;…
0x00e20ea4;！
0x00e20eb0;よ
0x00e20ec0;で
0x00e20ec8;！
0x00e20ed0;な
0x00e20ed4;？
0x00e20ed8;!!
0x00e20ee8;な
0x00e20ef8;ら
0x00e20f00;な
0x00e20f04;だ
0x00e20f0c;ぇ
0x00e20f14;な
0x00e20f30;な
0x00e20f40;！
0x00e20f48;！
0x00e20f50;！
0x00e20f58;…
0x00e20f60;ん
0x00e20f6c;か
0x00e20f74;…
0x00e20f7c;…
0x00e20f84;で
0x00e20f88;わ
0x00e20f98;よ
0x00e20fa0;…
0x00e20fa8;う
0x00e20fb8;る
0x00e20fc4;る
0x00e20fd0;わ
0x00e20fd8;…
0x00e20fe8;ん
0x00e20ffc;…
0x00e21004;！
0x00e21008;〜
0x00e21014;〜
0x00e21020;！
0x00e21024;ん
0x00e21030;や
0x00e21034;で
0x00e2103c;で
0x00e21040;か
0x00e21044;ぁ
0x00e21054;で
0x00e21060;ん
0x00e21074;！
0x00e21098;で
0x00e210a0;！
0x00e210a4;わ
0x00e210c4;よ
0x00e210d0;か
0x00e210dc;だ
0x00e210f4;ぉ
0x00e210f8;…
0x00e21100;よ
0x00e21104;か
0x00e21108;ぇ
0x00e21110;！
0x00e21120;…
0x00e2112c;…
0x00e21134;…
0x00e2113c;？
0x00e21144;わ
0x00e21154;…
0x00e2115c;ー
0x00e21160;〜
0x00e21188;！
0x00e2118c;…
0x00e211c4;…
0x00e211cc;…
0x00e211d8;ぜ
0x00e211e4;？
0x00e211ec;…
0x00e21210;か
0x00e2121c;…
0x00e2122c;！
0x00e21230;！
0x00e21240;や
0x00e2124c;！
0x00e2125c;！
0x00e21264;…
0x00e21284;？
0x00e212dc;ー
0x00e212e8;鬼
0x00e2131c;郎
0x00e21338;三
0x00e21340;重
0x00e21348;一
0x00e2135c;雪
0x00e21370;春
0x00e21384;駿
0x00e213a0;八
0x00e213a8;徹
0x00e213b0;忠
0x00e213c0;慶
0x00e213cc;治
0x00e213d4;彦
0x00e213e0;蔵
0x00e213ec;吉
0x00e213f4;沖田総司
0x00e21404;永倉新八
0x00e21414;桂小五郎
0x00e21424;西郷吉之助
0x00e21438;これは来たかも！
0x00e21450;これはないよな…
0x00e21468;鳴くか…
0x00e21478;まだ揃わないなぁ
0x00e21490;リーチするかな…
0x00e214a8;ツモしたい…
0x00e214b8;ロンしちゃうよ！
0x00e21554;楽曲
0x00e21564;難易度
0x00e21574;最高点
0x00e21584;最多連続成功数
0x00e2159c;総合評価
0x00e215bc;入力
0x00e215cc;吹雪小唄
0x00e215dc;さむらい演舞
0x00e215ec;鼓動
0x00e21604;宴会などで庶民の間で古くから歌い踊られている小唄。[n]大人から子供まで気軽に楽しめる、舞踊の入口的存在の楽曲。
0x00e21674;京で流行中の「さむらい音頭」を演舞用に仕立て直した楽曲。[n]音頭の楽しさと舞踊の優雅さが同時に堪能できる。
0x00e216dc;戦う男の情熱や生命の輝きを表現した楽曲。[n]上品さの中にも、他の楽曲にはない「熱さ」が感じ取れる。
0x00e21748;初心者
0x00e21750;一般
0x00e21758;上級者
0x00e21774;入門
0x00e2177c;本格
0x00e21790;なし
0x00e217a4;論外
0x00e217ac;三流
0x00e217b4;二流
0x00e217bc;一流
0x00e217c4;舞踊神
0x00e21860;試練踏破１
0x00e21870;試練踏破２
0x00e21880;試練踏破３
0x00e21890;試練踏破４
0x00e218a0;試練踏破５
0x00e218b0;試練踏破６
0x00e218c0;試練踏破７
0x00e218d0;試練踏破８
0x00e218e0;試練踏破９
0x00e218f0;試練踏破１０
0x00e21900;試練踏破最終
0x00e21940;どの試練に挑戦するか選んでください。
0x00e21984;？
0x00e21990;？
0x00e21998;ｷ
0x00e2199c;い
0x00e219ac;す
0x00e219b0;す
0x00e219b4;す
0x00e219c4;！
0x00e219d0;ん
0x00e219dc;イ
0x00e219f0;！
0x00e21a00;！
0x00e21a08;ぉ
0x00e21a14;！
0x00e21a18;ー
0x00e21a1c;ー
0x00e21a34;ルール説明
0x00e21a58;待った
0x00e21a88;手
0x00e21a90;棋風
0x00e21a98;手加減
0x00e21aa0;[n]誰と対局しますか？
0x00e21ab8;[n]どの踏破を選びますか？
0x00e21ad0;[n]この相手でよろしいですか？
0x00e21b08;十兵衛
0x00e21b10;耕作
0x00e21b18;九太郎
0x00e21b20;与市
0x00e21b28;喜多八
0x00e21b30;正吉
0x00e21b38;伝七
0x00e21b40;才蔵
0x00e21b48;熊六
0x00e21b50;小源太
0x00e21b58;五衛門
0x00e21b60;佐助
0x00e21b68;光四郎
0x00e21b70;健心
0x00e21b78;三郎太
0x00e21b80;国松
0x00e21b88;弥二郎
0x00e21b90;鶴平
0x00e21b98;一之助
0x00e21ba0;亀吉
0x00e21ba8;格之進
0x00e21bb0;右門
0x00e21bb8;村正
0x00e21bc0;助三郎
0x00e21bc8;金剛
0x00e21bd0;左京
0x00e21bd8;虎鉄
0x00e21be0;鬼丸
0x00e21be8;黒雲斎
0x00e21bf0;鴉天狗
0x00e21bf8;御子神
0x00e21c80;気まぐれな初心者
0x00e21c98;積極的に攻めるが弱い
0x00e21cb0;守りを固めるが遅い
0x00e21cc8;強引な攻めをしてくる
0x00e21ce0;攻守の調和は良い
0x00e21cf8;囲いを作ることを優先する
0x00e21d18;中央突破を狙う
0x00e21d28;堅実な守りを見せる
0x00e21d40;臨機応変な指し筋
0x00e21d58;長期戦に持ち込もうとする
0x00e21d78;強さにムラが多い
0x00e21d90;冷静な攻撃を見せる
0x00e21da8;大駒で積極的に攻める
0x00e21dc0;飛車の使い方が特徴的
0x00e21dd8;攻守の調和の取れた指し手
0x00e21df8;反撃に長ける
0x00e21e08;鋭い飛車を操る
0x00e21e18;実力はあるが気まぐれ
0x00e21e30;慎重に守りを固める
0x00e21e48;からめ手に長ける
0x00e21e60;堅実に攻守をこなす
0x00e21e78;苛烈に攻め立ててくる
0x00e21e90;受けに定評がある
0x00e21ea8;戦略の幅が広い
0x00e21eb8;失策をしない攻めの名手
0x00e21ed0;鋭い速攻を仕掛ける
0x00e21ee8;多様な守りの型の使い手
0x00e21f00;中飛車好きの古豪
0x00e21f18;緻密な攻めを見せる
0x00e21f30;万能型の指し手
0x00e21f40;将棋に人生を捧げし者
0x00e21fd8;対戦ポイント
0x00e21fe8;待った残回数 ５０×%d
0x00e22000;超待った未使用
0x00e22020;順位戦
0x00e22028;試練踏破
0x00e22044;いろいろな対戦相手と勝負して[n]順位戦の頂点を目指してください。[n]一勝負５点で遊べます。
0x00e2209c;特殊な局面から開始される試練に挑戦し[n]相手の王将を取ってください。[n]一勝負５点で遊べます。
0x00e220fc;いろいろな対戦相手と勝負して[n]順位戦の頂点を目指してください。[n]あなたが新しい将棋王なので、賭け点不要で遊べます。
0x00e22174;特殊な局面から開始される試練に挑戦し[n]相手の王将を取ってください。[n]あなたが新しい将棋王なので、賭け点不要で遊べます。
0x00e221ec;賭け点が足りないので遊べません。[n]５点以上貯めてください。
0x00e22248;。
0x00e22250;す
0x00e22260;そう来たか！
0x00e22270;その手は予想通り！
0x00e22288;厳しいなぁ…
0x00e22298;手駒がほしい
0x00e222a8;そう指すのか!?
0x00e222b8;そこに打つのか!?
0x00e222d0;成ろうか成るまいか…
0x00e222e8;攻めるか守るか…
0x00e22384;十兵衛　　十級
0x00e22394;耕作　　　十級
0x00e223a4;九太郎　　九級
0x00e223b4;与市　　　九級
0x00e223c4;喜多八　　八級
0x00e223d4;正吉　　　八級
0x00e223e4;伝七　　　七級
0x00e223f4;才蔵　　　七級
0x00e22404;熊六　　　六級
0x00e22414;小源太　　六級
0x00e22424;五衛門　　五級
0x00e22434;佐助　　　五級
0x00e22444;光四郎　　四級
0x00e22454;健心　　　四級
0x00e22464;三郎太　　三級
0x00e22474;国松　　　三級
0x00e22484;弥二郎　　二級
0x00e22494;鶴平　　　二級
0x00e224a4;一之助　　一級
0x00e224b4;亀吉　　　一級
0x00e224c4;格之進　　初段
0x00e224d4;右門　　　二段
0x00e224e4;村正　　　三段
0x00e224f4;助三郎　　四段
0x00e22504;金剛　　　五段
0x00e22514;左京　　　六段
0x00e22524;虎鉄　　　七段
0x00e22534;鬼丸　　　八段
0x00e22544;黒雲斎　　九段
0x00e22554;鴉天狗　最上段
0x00e22564;御子神　将棋王
0x00e225fc;長治
0x00e22604;風来坊の政
0x00e22614;嵐山の金時
0x00e22624;胸熱な勘蔵
0x00e22634;富豪の銭八
0x00e22644;死に神の市
0x00e22654;根暗な尚助
0x00e22664;欲張り五郎
0x00e22674;強運の大吉
0x00e22684;金なし忠太
0x00e22694;謎の博徒　壱
0x00e226a4;謎の博徒　弐
0x00e226b4;謎の博徒　参
0x00e226c8;目
0x00e226cc;目
0x00e226d0;目
0x00e226dc;ン
0x00e226f0;丁
0x00e226f8;半
0x00e22700;想
0x00e22704;想
0x00e22708;け
0x00e22758;中
0x00e22768;表
0x00e22770;程々の佐吉
0x00e22780;ぶっ込み徹
0x00e22790;黙りの達三
0x00e227a0;暇潰し花道
0x00e227b0;稲光の八郎
0x00e227c0;悪運の大政
0x00e227d0;腑抜けの雄
0x00e227e0;直感牛之助
0x00e227f0;天才剣志郎
0x00e22800;遊び人の銀
0x00e22810;強欲な清次
0x00e22864;郎
0x00e2287c;酒
0x00e228a8;点
0x00e228cc;旬
0x00e228e4;！
0x00e228f0;。
0x00e228fc;。
0x00e2291c;。
0x00e22934;。
0x00e22948;始
0x00e22954;設定の変更
0x00e22978;認
0x00e22984;示
0x00e2299c;い
0x00e229bc;。
0x00e229c8;六
0x00e229d0;七
0x00e229d8;八
0x00e229e0;九
0x00e229e8;十
0x00e229fc;。
0x00e22a18;ド
0x00e22a30;の
0x00e22a38;。
0x00e22a44;他
0x00e22a4c;可
0x00e22a54;済
0x00e22a68;。
0x00e22a74;。
0x00e22a7c;する
0x00e22a88;しない
0x00e22a94;る
0x00e22a9c;最上級
0x00e22ab8;初級で遊ぶには、最低２００点必要です。[n]対戦相手との得点差×１０点がやり取りされます。
0x00e22b10;中級で遊ぶには、最低８００点必要です。[n]対戦相手との得点差×１０点がやり取りされます。
0x00e22b68;上級で遊ぶには、最低１４００点必要です。[n]対戦相手との得点差×１０点がやり取りされます。
0x00e22bc0;最上級で遊ぶには、最低２０００点必要です。[n]対戦相手との得点差×１００点がやり取りされます。
0x00e22c20;賭け点が足りないので遊べません。[n]２００点以上貯めてください。
0x00e22c60;賭け点が足りないので遊べません。[n]８００点以上貯めてください。
0x00e22ca0;賭け点が足りないので遊べません。[n]１４００点以上貯めてください。
0x00e22ce0;賭け点が足りないので遊べません。[n]２０００点以上貯めてください。
0x00e22d40;。
0x00e22d48;いい札が来ますように
0x00e22d60;いい札がないな…
0x00e22d78;いい役できたよ！
0x00e22d90;いい役ができない…
0x00e22da8;コイ！
0x00e22db0;ここから逆転だ！
0x00e22dc8;こいするか…
0x00e22dd8;やめるか…
0x00e22e74;もう１枚
0x00e22eb0;もう１枚！
0x00e22ec0;３枚で勝負！
0x00e22ed0;勝負だ！
0x00e22ef0;ゲームをはじめる
0x00e22f18;勝負する
0x00e22f34;もう一度勝負
0x00e22f50;初心太助
0x00e22f60;煩悩の凡太
0x00e22f70;新入り新伍
0x00e22f90;お気楽桂治
0x00e22fa0;強引な権三
0x00e22fb0;肩こり甚平
0x00e22fd0;嵐の又三郎
0x00e22fe0;霊感与作
0x00e22ff0;謎の株主
0x00e23010;プレイヤーが親です。
0x00e23028;賭ける場所を選択してください。
0x00e23048;賭け点を決定してください。
0x00e23068;他のプレイヤーが賭ける場所を選択しています。
0x00e23098;勝負する相手を選択してください。
0x00e230c0;この手で勝負します。
0x00e230d8;親が勝負しています。
0x00e230f0;持ち点がないので、終了します。
0x00e23110;所持賭け点がなくなった参加者が出ましたので今回の勝負はここで終了となります。
"0x00e23188;賭け点	%d点"
"0x00e23198;結果	%d点"
0x00e231b8;ドシッピン
0x00e231c8;シロクの逃げ
0x00e231d8;札の種類
0x00e231fc;用
0x00e23204;シロクの逃げで勝負を降ります。
0x00e2322c;賭け点の同額を獲得しました。
0x00e2324c;シッピンで勝ったので賭け点の２倍を獲得しました。
0x00e23284;クッピンで勝ったので賭け点の２倍を獲得しました。
0x00e232bc;アラシで勝ったので賭け点の３倍を獲得しました。
0x00e232ec;ドシッピンで勝ったので賭け点の２０倍を獲得しました。
0x00e2333c;賭け点を失いました。
0x00e23354;シッピンに負けたので賭け点の２倍を失いました。
0x00e23384;クッピンに負けたので賭け点の２倍を失いました。
0x00e233b4;アラシに負けたので賭け点の３倍を失いました。
0x00e233e4;ドシッピンに負けたので賭け点の２０倍を失いました。
0x00e23434;？
0x00e23444;。
0x00e23448;。
0x00e2344c;。
0x00e23458;？
0x00e23464;収支がプラスなので持ち点が増えました。
0x00e2348c;収支がマイナスなので持ち点が減りました。
0x00e234bc;収支が０なので増減はありません。
0x00e234f4;負
0x00e23508;初級で遊ぶには、最低１００点必要です。[n]一度に賭けられる賭け点の上限は１００点までです。
0x00e23560;中級で遊ぶには、最低５００点必要です。[n]一度に賭けられる賭け点の上限は５００点までです。
0x00e235b8;上級で遊ぶには、最低１０００点必要です。[n]一度に賭けられる賭け点の上限は１０００点までです。
0x00e23618;賭け点が足りないので遊べません。[n]１００点以上貯めてください。
0x00e23658;賭け点が足りないので遊べません。[n]５００点以上貯めてください。
0x00e23698;賭け点が足りないので遊べません。[n]１０００点以上貯めてください。
0x00e236f0;もう一枚引くかな…
0x00e23708;これで勝負か…
0x00e23718;ブタになりませんように
0x00e23730;オイチョか、カブで！
0x00e23748;シッピン狙うしかないな
0x00e23760;クッピン狙うしかないな
0x00e23778;アラシが来るのか!?
0x00e23814;応対客数
0x00e23824;最大連続数
0x00e23834;総売り上げ
0x00e23844;総評
0x00e23860;神
0x00e23868;優
0x00e23870;良
0x00e23878;可
0x00e23880;不可
0x00e238a4;グ
0x00e238b0;グ
0x00e238c0;手紙
0x00e238c8;精進目録
0x00e238d8;サブストーリー
0x00e238ec;図
0x00e238f4;用語説明
0x00e23904;備忘録
0x00e2390c;セーブ／設定
0x00e2391c;随伴隊士
0x00e2392c;農業詳細
0x00e2393c;料理詳細
0x00e23994;能力強化できます
0x00e239b4;所持数順
0x00e239d0;経験値が上がった
0x00e239e8;%sの経験値が上がった
0x00e23a30;徳を獲得した
0x00e23a48;所持品
0x00e23a50;農作物
0x00e23a58;魚類
0x00e23a60;装備素材
0x00e23a88;装備武器
0x00e23aa0;装備防具
0x00e23ab8;所持武器
