0x00e19c78;え
0x00e1ea58;パイナップル試遊練習
0x00e1ea70;オマハ試遊練習
0x00e1ea90;テキサスホールデムの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1ead0;パイナップルホールデムの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1eb18;オマハホールデムの遊び方を[n]実際のプレイも交えて、練習します。
0x00e1eb68;真剣勝負だ！
0x00e1eb78;運がいいね
0x00e1eb88;早くしてよ
0x00e1eb98;ガッカリ…
0x00e1eba8;まさか…!?
0x00e1ebb8;ダメだ、こりゃ！
0x00e1ebd0;バラバラだよ…
0x00e1ebe0;これじゃ勝てないか…
0x00e1ebf8;これは勝ち確定かも…
0x00e1ec10;もっと上げるよ！
0x00e1ec28;付き合ってみるか…
0x00e1ec40;降りようかな…
0x00e1ec50;この勝負は降りる…
0x00e1ec68;あははははは！
0x00e1ec78;メラメラ！（怒）
0x00e1ec90;しくしく…（涙）
0x00e1eca8;ドキドキ…
0x00e1ecb8;わーい♪
0x00e1ecc8;やられた！
0x00e1ecd8;絶好調！
0x00e1ece8;失敗したなぁ…
0x00e1ecf8;おつかれさま！
0x00e1ed08;楽しかった〜！
0x00e1ed18;くやしいなぁ…
0x00e1ed28;次こそは勝つ！
0x00e1edc0;あと
0x00e1edcc;０
0x00e1edd4;１
0x00e1eddc;２
0x00e1ede4;３
0x00e1edec;４
0x00e1edf4;５
0x00e1edfc;６
0x00e1ee04;７
0x00e1ee0c;８
0x00e1ee14;９
0x00e1ee48;？
0x00e1ee58;未勝利
0x00e1ee68;勝利
0x00e1ee78;エレキナマズ
0x00e1ee88;サケ
0x00e1ee90;スッポン
0x00e1eea0;ウナギ
0x00e1eea8;アユ
0x00e1eeec;マダイ
0x00e1eef4;クルマエビ
0x00e1ef04;い
0x00e1ef0c;トラフグ
0x00e1ef1c;シラス
0x00e1ef6c;初釣丸
0x00e1ef74;淡水丸
0x00e1ef7c;釣大河
0x00e1ef84;海丸
0x00e1ef8c;大海王
0x00e1ef94;超釣神
0x00e1efb8;宇治川
0x00e1efc0;鴨川
0x00e1efc8;漁礁の磯
0x00e1efd8;東沖
0x00e1eff4;撒き餌
0x00e1f000;投入
0x00e1f008;釣具
0x00e1f024;淡水魚食いつき
0x00e1f034;海水魚食いつき
0x00e1f044;飛距離
0x00e1f04c;アタリの感度
0x00e1f070;海でも川でも使える、初心者用の釣具。[n]性能はあまりよくない。
0x00e1f0b0;川釣りに適した釣り道具。[n]川魚のアタリがとりやすく、反応も良い。
0x00e1f0f0;川釣りに最も適した釣り道具。[n]川魚の反応も優れ、アワセるのが簡単。[n]また遠くまで投げられる。
0x00e1f150;海釣りに適した釣り道具。[n]海魚のアタリがとりやすく、反応も良い。
0x00e1f190;海釣りに最も適した釣り道具。[n]海魚の反応も優れ、アワセるのが簡単。[n]また遠くまで投げられる。
0x00e1f1f0;海でも川でも使える最高性能の釣具。[n]魚のアタリの感度も最高。[n]飛距離も最も遠くまで投げられる。
0x00e1f274;竿を上げる
0x00e1f28c;アワセる
0x00e1f2a4;%d尺%d寸
0x00e1f2bc;高級撒き餌
0x00e1f2cc;特選撒き餌
0x00e1f2dc;究極撒き餌
0x00e1f308;混戦の予感がします。
0x00e1f320;２強の戦いになりそうです。
0x00e1f340;さてどんな結末になるでしょうか？
0x00e1f378;短距離王者がいよいよ決まります。
0x00e1f3a8;さあ、ここに中距離最強が決まります。
0x00e1f3d8;長距離で最も強い鳥はどの鳥か？
0x00e1f400;この競争に勝った鳥は栄光の鶏冠を与えられます。
0x00e1f438;この競争に勝った鳥は鳳凰と呼ばれます。
0x00e1f468;日本一の栄冠はどの鳥に輝くのか？[n]鳥の中の鳥がいよいよ決定。
0x00e1f4ac;急遽特別競走が開催されます。[n]選ばれた２羽による一騎打ち戦です。
0x00e1f4f0;短距離一般競争
0x00e1f500;中距離一般競争
0x00e1f510;長距離一般競争
0x00e1f530;短距離[n]一般競争
0x00e1f540;中距離[n]一般競争
0x00e1f550;長距離[n]一般競争
0x00e1f56c;%s対%s
0x00e1f57c;骸短距離王冠前哨戦
0x00e1f594;骸中距離王冠前哨戦
0x00e1f5ac;骸長距離王冠前哨戦
0x00e1f5c4;銀鶏杯
0x00e1f5cc;金鶏杯
0x00e1f5d4;鴨川記念
0x00e1f5e4;骸記念
0x00e1f5ec;骸短距離王冠
0x00e1f5fc;骸中距離王冠
0x00e1f60c;骸長距離王冠
0x00e1f61c;骸大鶏冠
0x00e1f62c;鳳凰賞
0x00e1f634;日本優鶏
0x00e1f644;一騎打ち戦
0x00e1f690;骸短距離[n]王冠前哨戦
0x00e1f6a8;骸中距離[n]王冠前哨戦
0x00e1f6c0;骸長距離王[n]冠前哨戦
0x00e1f6d8;骸短距離[n]王冠
0x00e1f6e8;骸中距離[n]王冠
0x00e1f6f8;骸長距離[n]王冠
0x00e1f744;各羽、態勢整いました。
0x00e1f75c;準備が整いました。
0x00e1f780;各羽きれいな出足！
0x00e1f798;出遅れた！%s
0x00e1f7a8;良い出足！%s
0x00e1f7b8;現在先頭は%s
0x00e1f7c8;先頭は横一線！
0x00e1f7d8;一気に出た！%s
0x00e1f804;%s一歩先行
0x00e1f814;%s後方から一気に来たー！
0x00e1f834;%s逃げてる！
0x00e1f844;各羽一斉に終点になだれ込んだー
0x00e1f864;これはかなり混戦だ！
0x00e1f894;大健闘！%s
0x00e1f8a4;期待通りです！%s
0x00e1f8bc;これは予想外！%s
0x00e1f8d4;やはり強い！%s
0x00e1f8e4;１着%s[n]２着%s
0x00e1f90c;鳥券購入
0x00e1f91c;競争開始
0x00e1f92c;競争予定を見る
0x00e1f93c;競鶏をやめる
0x00e1f960;単勝購入
0x00e1f970;鳥連購入
0x00e1f980;鳥単購入
0x00e1f990;配当一覧から購入
0x00e1f9a8;購入鳥券確認
0x00e1f9b8;購入終了
0x00e1f9e4;競争開始まで
0x00e1f9f4;秒
0x00e1fa0c;一
0x00e1fa14;二
0x00e1fa1c;三
0x00e1fa24;四
0x00e1fa2c;五
0x00e1fa9c;木札で鳥券を購入します。
0x00e1fabc;競争を開始します。
0x00e1fad4;今後開催される競争の予定を確認できます。
0x00e1fb04;競鶏を終了します。
0x00e1fb1c;１着の鶏を予想する鳥券を購入します。
0x00e1fb44;着順に関係なく１着２着を予想する鳥券を購入します。
0x00e1fb7c;着順を予想する鳥券を購入します。[n]最大５着まで予想することができます。
0x00e1fbc4;配当一覧から鳥券を購入します。
0x00e1fbe4;購入済みの鳥券を確認できます。
0x00e1fc04;鳥券の購入を終了します。
0x00e1fc24;１着の鶏のみ予想します。[n]購入する鶏を選んで左右で賭け点を増減します。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1fc9c;着順に関係なく１着２着を予想します。[n]１羽目の鶏を<Sign:D>ボタンで選んでください。
0x00e1fcf4;２羽目の鶏を選んで左右で賭け点を増減します。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1fd54;着順を予想する鳥券を購入します。[n]１着予想の鶏を<Sign:D>ボタンで選んでください。
0x00e1fda4;２着予想の鶏を選んで左右で賭け点を増減します。[n]<Sign:D>ボタンで更に多くの順着を予想できます。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1fe34;３着予想の鶏を選んで左右で賭け点を増減します。[n]<Sign:D>ボタンで更に多くの順着を予想できます。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1fec4;４着予想の鶏を選んで左右で賭け点を増減します。[n]<Sign:D>ボタンで更に多くの順着を予想できます。[n]「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1ff54;左右で賭け点を増減します。「確定」で購入、<Sign:C>ボタンで取り消します。
0x00e1ffa4;購入したい配当を選んで<Sign:D>ボタンを押してください。[n]◎は購入済みです。<Sign:6>、<Sign:4>ボタンで表示を切り替えます。 
0x00e20024;左右で賭け点を増減します。[n]<Sign:D>ボタンで購入、<Sign:C>ボタンで取り消します。
0x00e20074;購入済みの鳥券です。
0x00e2008c;現在開催中、出走鳥決定の競争は、[n]<Sign:1>ボタンで詳細を見ることができます。
0x00e200dc;現在開催中の出走鳥です。
0x00e200fc;次回競走の出走鳥です
0x00e20114;次々回競走の出走鳥です。
0x00e20134;急遽特別競走が開催されます。[n]選ばれた２羽による一騎討ち戦です。
0x00e201dc;詳細表示
0x00e201f4;表示切替
0x00e2020c;視点切り替え
0x00e20224;飜
0x00e2022c;符
0x00e20238;ラ
0x00e2023c;棒
0x00e20254;？
0x00e2026c;る
0x00e20270;る
0x00e2027c;識
0x00e2028c;る
0x00e20298;弱卓で勝負
0x00e202a8;中卓で勝負
0x00e202b8;強卓で勝負
0x00e202c8;慶応麻雀杯 昇龍戦に挑戦
0x00e202f0;対戦相手を選んでください。[n]弱い対戦相手たちと勝負します。
0x00e20330;対戦相手を選んでください。[n]普通の強さの対戦相手たちと勝負します。
0x00e20378;対戦相手を選んでください。[n]強い対戦相手たちと勝負します。
0x00e203b8;いろいろな対戦相手と勝負して[n]昇龍戦の頂点を目指してください。[n]参加料は５００点で１回払えば、次回からは無料です。
0x00e20430;いろいろな対戦相手と勝負して[n]昇龍戦の頂点を目指してください。[n]５００点以上貯めてください。
0x00e20490;いろいろな対戦相手と勝負して[n]昇龍戦の頂点を目指してください。
0x00e20504;ラ
0x00e20520;槓
0x00e2052c;和
0x00e20530;打
0x00e20544;局
0x00e20548;局
0x00e2054c;局
0x00e20550;局
0x00e20554;局
0x00e20558;局
0x00e2055c;局
0x00e20560;局
0x00e20564;局
0x00e20568;局
0x00e2056c;局
0x00e20570;局
0x00e20574;局
0x00e20578;局
0x00e2057c;局
0x00e20580;局
0x00e2058c;満
0x00e20594;満
0x00e205a4;満
0x00e205d8;東
0x00e205dc;南
0x00e205e0;西
0x00e205e4;北
0x00e205e8;白
0x00e205f0;發
0x00e205f8;中
0x00e20608;口
0x00e20634;頭
0x00e20640;和
0x00e20644;刻
0x00e20648;刻
0x00e2064c;子
0x00e20650;子
0x00e20664;元
0x00e20668;直
0x00e20674;色
0x00e20678;口
0x00e2067c;色
0x00e20680;色
0x00e20684;色
0x00e20694;刻
0x00e20698;騎
0x00e206a0;子
0x00e206a4;元
0x00e206a8;喜
0x00e206ac;喜
0x00e206b0;頭
0x00e206d8;輪
0x00e206f0;中
0x00e206f8;か
0x00e20718;ぁ
0x00e20734;？
0x00e20740;で
0x00e20760;！
0x00e20770;？
0x00e20780;！
0x00e2078c;！
0x00e20798;…
0x00e207a4;！
0x00e207ac;…
0x00e207c0;な
0x00e207e4;や
0x00e207f8;ぇ
0x00e2080c;よ
0x00e20814;ぇ
0x00e20840;ー
0x00e2084c;わ
0x00e20854;ろ
0x00e2085c;！
0x00e20874;！
0x00e20880;わ
0x00e20888;で
0x00e20898;！
0x00e208a4;〜
0x00e208b8;〜
0x00e208dc;な
0x00e2091c;る
0x00e20930;る
0x00e20934;…
0x00e20940;ぇ
0x00e20944;裕
0x00e20954;な
0x00e2095c;ろ
0x00e20964;た
0x00e20988;ぁ
0x00e20990;？
0x00e20998;ぁ
0x00e209a4;や
0x00e209ac;…
0x00e209b8;…
0x00e209c4;ね
0x00e209d0;…
0x00e209d4;よ
0x00e209f4;わ
0x00e209fc;〜
0x00e20a0c;！
0x00e20a10;？
0x00e20a20;…
0x00e20a24;で
0x00e20a28;！
0x00e20a3c;え
0x00e20a48;…
0x00e20a60;な
0x00e20a6c;…
0x00e20a78;か
0x00e20a88;や
0x00e20a90;わ
0x00e20a98;！
0x00e20a9c;？
0x00e20aa8;〜
0x00e20ab0;？
0x00e20ac8;ん
0x00e20ad8;が
0x00e20adc;ん
0x00e20ae0;か
0x00e20af8;…
0x00e20b00;…
0x00e20b24;で
0x00e20b28;！
0x00e20b34;…
0x00e20b40;い
0x00e20b44;な
0x00e20b4c;…
0x00e20b54;る
0x00e20b6c;い
0x00e20b70;！
0x00e20b90;ぁ
0x00e20b94;ぁ
0x00e20b98;ょ
0x00e20b9c;！
0x00e20ba0;わ
0x00e20bb0;…
0x00e20bbc;！
0x00e20bd8;う
0x00e20c04;る
0x00e20c0c;？
0x00e20c14;負
0x00e20c18;る
0x00e20c1c;る
0x00e20c38;な
0x00e20c3c;…
0x00e20c40;…
0x00e20c4c;だ
0x00e20c50;…
0x00e20c5c;か
0x00e20c6c;？
0x00e20c78;！
0x00e20c84;な
0x00e20c88;！
0x00e20c9c;ぁ
0x00e20ca0;わ
0x00e20ca4;に
0x00e20cac;て
0x00e20cb0;わ
0x00e20cb4;ん
0x00e20cbc;や
0x00e20cc0;わ
0x00e20cc8;…
0x00e20ccc;！
0x00e20cd8;わ
0x00e20cfc;！
0x00e20d0c;！
0x00e20d20;…
0x00e20d28;か
0x00e20d2c;ぜ
0x00e20d38;…
0x00e20d48;ぜ
0x00e20d5c;〜
0x00e20d68;て
0x00e20d78;…
0x00e20d88;ヘ
0x00e20dc0;…
0x00e20dd8;ぞ
0x00e20ddc;よ
0x00e20de4;な
0x00e20df0;…
0x00e20e04;…
0x00e20e14;で
0x00e20e18;…
0x00e20e24;！
0x00e20e30;よ
0x00e20e40;で
0x00e20e48;！
0x00e20e50;な
0x00e20e54;？
0x00e20e68;な
0x00e20e78;ら
0x00e20e80;な
0x00e20e84;だ
0x00e20e8c;ぇ
0x00e20e94;な
0x00e20eb0;な
0x00e20ec0;！
0x00e20ec8;！
0x00e20ed0;！
0x00e20ed8;…
0x00e20ee0;ん
0x00e20eec;か
0x00e20ef4;…
0x00e20efc;…
0x00e20f04;で
0x00e20f08;わ
0x00e20f18;よ
0x00e20f20;…
0x00e20f28;う
0x00e20f38;る
0x00e20f44;る
0x00e20f50;わ
0x00e20f58;…
0x00e20f68;ん
0x00e20f7c;…
0x00e20f84;！
0x00e20f88;〜
0x00e20f94;〜
0x00e20fa0;！
0x00e20fa4;ん
0x00e20fb0;や
0x00e20fb4;で
0x00e20fbc;で
0x00e20fc0;か
0x00e20fc4;ぁ
0x00e20fd4;で
0x00e20fe0;ん
0x00e20ff4;！
0x00e21018;で
0x00e21020;！
0x00e21024;わ
0x00e21044;よ
0x00e21050;か
0x00e2105c;だ
0x00e21074;ぉ
0x00e21078;…
0x00e21080;よ
0x00e21084;か
0x00e21088;ぇ
0x00e21090;！
0x00e210a0;…
0x00e210ac;…
0x00e210b4;…
0x00e210bc;？
0x00e210c4;わ
0x00e210d4;…
0x00e210dc;ー
0x00e210e0;〜
0x00e21108;！
0x00e2110c;…
0x00e21144;…
0x00e2114c;…
0x00e21158;ぜ
0x00e21164;？
0x00e2116c;…
0x00e21190;か
0x00e2119c;…
0x00e211ac;！
0x00e211b0;！
0x00e211c0;や
0x00e211cc;！
0x00e211dc;！
0x00e211e4;…
0x00e21204;？
0x00e2125c;ー
0x00e21268;鬼
0x00e2129c;郎
0x00e212b8;三
0x00e212c0;重
0x00e212c8;一
0x00e212dc;雪
0x00e212f0;春
0x00e21304;駿
0x00e21320;八
0x00e21328;徹
0x00e21330;忠
0x00e21340;慶
0x00e2134c;治
0x00e21354;彦
0x00e21360;蔵
0x00e2136c;吉
0x00e21374;沖田総司
0x00e21384;永倉新八
0x00e21394;桂小五郎
0x00e213a4;西郷吉之助
0x00e213b8;これは来たかも！
0x00e213d0;これはないよな…
0x00e213e8;鳴くか…
0x00e213f8;まだ揃わないなぁ
0x00e21410;リーチするかな…
0x00e21428;ツモしたい…
0x00e21438;ロンしちゃうよ！
0x00e214d4;楽曲
0x00e214e4;難易度
0x00e214f4;最高点
0x00e21504;最多連続成功数
0x00e2151c;総合評価
0x00e2153c;入力
0x00e2154c;吹雪小唄
0x00e2155c;さむらい演舞
0x00e2156c;鼓動
0x00e21584;宴会などで庶民の間で古くから歌い踊られている小唄。[n]大人から子供まで気軽に楽しめる、舞踊の入口的存在の楽曲。
0x00e215f4;京で流行中の「さむらい音頭」を演舞用に仕立て直した楽曲。[n]音頭の楽しさと舞踊の優雅さが同時に堪能できる。
0x00e2165c;戦う男の情熱や生命の輝きを表現した楽曲。[n]上品さの中にも、他の楽曲にはない「熱さ」が感じ取れる。
0x00e216c8;初心者
0x00e216d0;一般
0x00e216d8;上級者
0x00e216f4;入門
0x00e216fc;本格
0x00e21710;なし
0x00e21724;論外
0x00e2172c;三流
0x00e21734;二流
0x00e2173c;一流
0x00e21744;舞踊神
0x00e217e0;試練踏破１
0x00e217f0;試練踏破２
0x00e21800;試練踏破３
0x00e21810;試練踏破４
0x00e21820;試練踏破５
0x00e21830;試練踏破６
0x00e21840;試練踏破７
0x00e21850;試練踏破８
0x00e21860;試練踏破９
0x00e21870;試練踏破１０
0x00e21880;試練踏破最終
0x00e218c0;どの試練に挑戦するか選んでください。
0x00e21904;？
0x00e21910;？
0x00e21918;ｷ
0x00e2191c;い
0x00e2192c;す
0x00e21930;す
0x00e21934;す
0x00e21944;！
0x00e21950;ん
0x00e2195c;イ
0x00e21970;！
0x00e21980;！
0x00e21988;ぉ
0x00e21994;！
0x00e21998;ー
0x00e2199c;ー
0x00e219b4;ルール説明
0x00e219d8;待った
0x00e21a08;手
0x00e21a10;棋風
0x00e21a18;手加減
0x00e21a20;[n]誰と対局しますか？
0x00e21a38;[n]どの踏破を選びますか？
0x00e21a50;[n]この相手でよろしいですか？
0x00e21a88;十兵衛
0x00e21a90;耕作
0x00e21a98;九太郎
0x00e21aa0;与市
0x00e21aa8;喜多八
0x00e21ab0;正吉
0x00e21ab8;伝七
0x00e21ac0;才蔵
0x00e21ac8;熊六
0x00e21ad0;小源太
0x00e21ad8;五衛門
0x00e21ae0;佐助
0x00e21ae8;光四郎
0x00e21af0;健心
0x00e21af8;三郎太
0x00e21b00;国松
0x00e21b08;弥二郎
0x00e21b10;鶴平
0x00e21b18;一之助
0x00e21b20;亀吉
0x00e21b28;格之進
0x00e21b30;右門
0x00e21b38;村正
0x00e21b40;助三郎
0x00e21b48;金剛
0x00e21b50;左京
0x00e21b58;虎鉄
0x00e21b60;鬼丸
0x00e21b68;黒雲斎
0x00e21b70;鴉天狗
0x00e21b78;御子神
0x00e21c00;気まぐれな初心者
0x00e21c18;積極的に攻めるが弱い
0x00e21c30;守りを固めるが遅い
0x00e21c48;強引な攻めをしてくる
0x00e21c60;攻守の調和は良い
0x00e21c78;囲いを作ることを優先する
0x00e21c98;中央突破を狙う
0x00e21ca8;堅実な守りを見せる
0x00e21cc0;臨機応変な指し筋
0x00e21cd8;長期戦に持ち込もうとする
0x00e21cf8;強さにムラが多い
0x00e21d10;冷静な攻撃を見せる
0x00e21d28;大駒で積極的に攻める
0x00e21d40;飛車の使い方が特徴的
0x00e21d58;攻守の調和の取れた指し手
0x00e21d78;反撃に長ける
0x00e21d88;鋭い飛車を操る
0x00e21d98;実力はあるが気まぐれ
0x00e21db0;慎重に守りを固める
0x00e21dc8;からめ手に長ける
0x00e21de0;堅実に攻守をこなす
0x00e21df8;苛烈に攻め立ててくる
0x00e21e10;受けに定評がある
0x00e21e28;戦略の幅が広い
0x00e21e38;失策をしない攻めの名手
0x00e21e50;鋭い速攻を仕掛ける
0x00e21e68;多様な守りの型の使い手
0x00e21e80;中飛車好きの古豪
0x00e21e98;緻密な攻めを見せる
0x00e21eb0;万能型の指し手
0x00e21ec0;将棋に人生を捧げし者
0x00e21f58;対戦ポイント
0x00e21f68;待った残回数 ５０×%d
0x00e21f80;超待った未使用
0x00e21fa0;順位戦
0x00e21fa8;試練踏破
0x00e21fc4;いろいろな対戦相手と勝負して[n]順位戦の頂点を目指してください。[n]一勝負５点で遊べます。
0x00e2201c;特殊な局面から開始される試練に挑戦し[n]相手の王将を取ってください。[n]一勝負５点で遊べます。
0x00e2207c;いろいろな対戦相手と勝負して[n]順位戦の頂点を目指してください。[n]あなたが新しい将棋王なので、賭け点不要で遊べます。
0x00e220f4;特殊な局面から開始される試練に挑戦し[n]相手の王将を取ってください。[n]あなたが新しい将棋王なので、賭け点不要で遊べます。
0x00e2216c;賭け点が足りないので遊べません。[n]５点以上貯めてください。
0x00e221c8;。
0x00e221d0;す
0x00e221e0;そう来たか！
0x00e221f0;その手は予想通り！
0x00e22208;厳しいなぁ…
0x00e22218;手駒がほしい
0x00e22228;そう指すのか!?
0x00e22238;そこに打つのか!?
0x00e22250;成ろうか成るまいか…
0x00e22268;攻めるか守るか…
0x00e22304;十兵衛　　十級
0x00e22314;耕作　　　十級
0x00e22324;九太郎　　九級
0x00e22334;与市　　　九級
0x00e22344;喜多八　　八級
0x00e22354;正吉　　　八級
0x00e22364;伝七　　　七級
0x00e22374;才蔵　　　七級
0x00e22384;熊六　　　六級
0x00e22394;小源太　　六級
0x00e223a4;五衛門　　五級
0x00e223b4;佐助　　　五級
0x00e223c4;光四郎　　四級
0x00e223d4;健心　　　四級
0x00e223e4;三郎太　　三級
0x00e223f4;国松　　　三級
0x00e22404;弥二郎　　二級
0x00e22414;鶴平　　　二級
0x00e22424;一之助　　一級
0x00e22434;亀吉　　　一級
0x00e22444;格之進　　初段
0x00e22454;右門　　　二段
0x00e22464;村正　　　三段
0x00e22474;助三郎　　四段
0x00e22484;金剛　　　五段
0x00e22494;左京　　　六段
0x00e224a4;虎鉄　　　七段
0x00e224b4;鬼丸　　　八段
0x00e224c4;黒雲斎　　九段
0x00e224d4;鴉天狗　最上段
0x00e224e4;御子神　将棋王
0x00e2257c;長治
0x00e22584;風来坊の政
0x00e22594;嵐山の金時
0x00e225a4;胸熱な勘蔵
0x00e225b4;富豪の銭八
0x00e225c4;死に神の市
0x00e225d4;根暗な尚助
0x00e225e4;欲張り五郎
0x00e225f4;強運の大吉
0x00e22604;金なし忠太
0x00e22614;謎の博徒　壱
0x00e22624;謎の博徒　弐
0x00e22634;謎の博徒　参
0x00e22648;目
0x00e2264c;目
0x00e22650;目
0x00e2265c;ン
0x00e22670;丁
0x00e22678;半
0x00e22680;想
0x00e22684;想
0x00e22688;け
0x00e226d8;中
0x00e226e8;表
0x00e226f0;程々の佐吉
0x00e22700;ぶっ込み徹
0x00e22710;黙りの達三
0x00e22720;暇潰し花道
0x00e22730;稲光の八郎
0x00e22740;悪運の大政
0x00e22750;腑抜けの雄
0x00e22760;直感牛之助
0x00e22770;天才剣志郎
0x00e22780;遊び人の銀
0x00e22790;強欲な清次
0x00e227e4;郎
0x00e227fc;酒
0x00e22828;点
0x00e2284c;旬
0x00e22864;！
0x00e22870;。
0x00e2287c;。
0x00e2289c;。
0x00e228b4;。
0x00e228c8;始
0x00e228d4;設定の変更
0x00e228f8;認
0x00e22904;示
0x00e2291c;い
0x00e2293c;。
0x00e22948;六
0x00e22950;七
0x00e22958;八
0x00e22960;九
0x00e22968;十
0x00e2297c;。
0x00e22998;ド
0x00e229b0;の
0x00e229b8;。
0x00e229c4;他
0x00e229cc;可
0x00e229d4;済
0x00e229e8;。
0x00e229f4;。
0x00e229fc;する
0x00e22a08;しない
0x00e22a14;る
0x00e22a1c;最上級
0x00e22a38;初級で遊ぶには、最低２００点必要です。[n]対戦相手との得点差×１０点がやり取りされます。
0x00e22a90;中級で遊ぶには、最低８００点必要です。[n]対戦相手との得点差×１０点がやり取りされます。
0x00e22ae8;上級で遊ぶには、最低１４００点必要です。[n]対戦相手との得点差×１０点がやり取りされます。
0x00e22b40;最上級で遊ぶには、最低２０００点必要です。[n]対戦相手との得点差×１００点がやり取りされます。
0x00e22ba0;賭け点が足りないので遊べません。[n]２００点以上貯めてください。
0x00e22be0;賭け点が足りないので遊べません。[n]８００点以上貯めてください。
0x00e22c20;賭け点が足りないので遊べません。[n]１４００点以上貯めてください。
0x00e22c60;賭け点が足りないので遊べません。[n]２０００点以上貯めてください。
0x00e22cc0;。
0x00e22cc8;いい札が来ますように
0x00e22ce0;いい札がないな…
0x00e22cf8;いい役できたよ！
0x00e22d10;いい役ができない…
0x00e22d28;コイ！
0x00e22d30;ここから逆転だ！
0x00e22d48;こいするか…
0x00e22d58;やめるか…
0x00e22df4;もう１枚
0x00e22e30;もう１枚！
0x00e22e40;３枚で勝負！
0x00e22e50;勝負だ！
0x00e22e70;ゲームをはじめる
0x00e22e98;勝負する
0x00e22eb4;もう一度勝負
0x00e22ed0;初心太助
0x00e22ee0;煩悩の凡太
0x00e22ef0;新入り新伍
0x00e22f10;お気楽桂治
0x00e22f20;強引な権三
0x00e22f30;肩こり甚平
0x00e22f50;嵐の又三郎
0x00e22f60;霊感与作
0x00e22f70;謎の株主
0x00e22f90;プレイヤーが親です。
0x00e22fa8;賭ける場所を選択してください。
0x00e22fc8;賭け点を決定してください。
0x00e22fe8;他のプレイヤーが賭ける場所を選択しています。
0x00e23018;勝負する相手を選択してください。
0x00e23040;この手で勝負します。
0x00e23058;親が勝負しています。
0x00e23070;持ち点がないので、終了します。
0x00e23090;所持賭け点がなくなった参加者が出ましたので今回の勝負はここで終了となります。
"0x00e23108;賭け点	%d点"
"0x00e23118;結果	%d点"
0x00e23138;ドシッピン
0x00e23148;シロクの逃げ
0x00e23158;札の種類
0x00e2317c;用
0x00e23184;シロクの逃げで勝負を降ります。
0x00e231ac;賭け点の同額を獲得しました。
0x00e231cc;シッピンで勝ったので賭け点の２倍を獲得しました。
0x00e23204;クッピンで勝ったので賭け点の２倍を獲得しました。
0x00e2323c;アラシで勝ったので賭け点の３倍を獲得しました。
0x00e2326c;ドシッピンで勝ったので賭け点の２０倍を獲得しました。
0x00e232bc;賭け点を失いました。
0x00e232d4;シッピンに負けたので賭け点の２倍を失いました。
0x00e23304;クッピンに負けたので賭け点の２倍を失いました。
0x00e23334;アラシに負けたので賭け点の３倍を失いました。
0x00e23364;ドシッピンに負けたので賭け点の２０倍を失いました。
0x00e233b4;？
0x00e233c4;。
0x00e233c8;。
0x00e233cc;。
0x00e233d8;？
0x00e233e4;収支がプラスなので持ち点が増えました。
0x00e2340c;収支がマイナスなので持ち点が減りました。
0x00e2343c;収支が０なので増減はありません。
0x00e23474;負
0x00e23488;初級で遊ぶには、最低１００点必要です。[n]一度に賭けられる賭け点の上限は１００点までです。
0x00e234e0;中級で遊ぶには、最低５００点必要です。[n]一度に賭けられる賭け点の上限は５００点までです。
0x00e23538;上級で遊ぶには、最低１０００点必要です。[n]一度に賭けられる賭け点の上限は１０００点までです。
0x00e23598;賭け点が足りないので遊べません。[n]１００点以上貯めてください。
0x00e235d8;賭け点が足りないので遊べません。[n]５００点以上貯めてください。
0x00e23618;賭け点が足りないので遊べません。[n]１０００点以上貯めてください。
0x00e23670;もう一枚引くかな…
0x00e23688;これで勝負か…
0x00e23698;ブタになりませんように
0x00e236b0;オイチョか、カブで！
0x00e236c8;シッピン狙うしかないな
0x00e236e0;クッピン狙うしかないな
0x00e236f8;アラシが来るのか!?
0x00e23794;応対客数
0x00e237a4;最大連続数
0x00e237b4;総売り上げ
0x00e237c4;総評
0x00e237e0;神
0x00e237e8;優
0x00e237f0;良
0x00e237f8;可
0x00e23800;不可
0x00e23824;グ
0x00e23830;グ
0x00e23840;手紙
0x00e23848;精進目録
0x00e23858;サブストーリー
0x00e2386c;図
0x00e23874;用語説明
0x00e23884;備忘録
0x00e2388c;セーブ／設定
0x00e2389c;随伴隊士
0x00e238ac;農業詳細
0x00e238bc;料理詳細
0x00e23914;能力強化できます
0x00e23934;所持数順
0x00e23950;経験値が上がった
0x00e23968;%sの経験値が上がった
0x00e239b0;徳を獲得した
0x00e239c8;所持品
0x00e239d0;農作物
0x00e239d8;魚類
0x00e239e0;装備素材
0x00e23a08;装備武器
0x00e23a20;装備防具
0x00e23a38;所持武器
0x00e23a48;所持防具
0x00e23a64;刀
0x00e23a6c;特殊武器
0x00e23a7c;銃
0x00e23a84;弾丸
0x00e23a8c;鉢巻
0x00e23a94;胸当て
0x00e23a9c;籠手
0x00e23ac4;攻撃力
0x00e23ad4;防御力
0x00e23ae4;希少度
0x00e23aec;格
